License,AFL-2.0,AFL-2.1,AGPL-3.0-only,AGPL-3.0-or-later,Apache-1.0,Apache-1.1,Apache-2.0,Artistic-1.0-Perl,BSD-2-Clause,BSD-2-Clause-Patent,BSD-3-Clause,BSD-4-Clause,BSD-4-Clause-UC,BSL-1.0,bzip2-1.0.5,bzip2-1.0.6,CC0-1.0,CDDL-1.0,CPL-1.0,curl,EFL-2.0,EPL-1.0,EPL-2.0,EUPL-1.1,FTL,GPL-2.0-only,GPL-2.0-only-WITH-Classpath-exception-2.0,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,HPND,IBM-pibs,ICU,IJG,IPL-1.0,ISC,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later,Libpng,libtiff,MirOS,MIT,MIT-CMU,MPL-1.1,MPL-2.0,MPL-2.0-no-copyleft-exception,MS-PL,MS-RL,NBPL-1.0,NTP,OpenSSL,OSL-3.0,Python-2.0,Qhull,RPL-1.5,SunPro,Unicode-DFS-2015,Unicode-DFS-2016,UPL-1.0,WTFPL,X11,XFree86-1.1,Zlib,zlib-acknowledgement
AFL-2.0,-,Yes,?,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,?,Yes,?,?,?,?,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,?,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AFL-2.1,Yes,-,?,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,?,Yes,?,?,?,?,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,?,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AGPL-3.0-only,No,No,-,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AGPL-3.0-or-later,No,No,No,-,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Apache-1.0,Yes,Yes,No,No,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,?,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache-1.1,Yes,Yes,No,No,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,?,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache-2.0,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,?,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Artistic-1.0-Perl,Yes,Yes,?,?,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,?,?,?,Yes,?,?,?,?,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,?,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-2-Clause,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-2-Clause-Patent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
